ID,Kind,Status,CurrentAnchor,ReplacementID,RetirementReason,LegacySource
VHS-REQ-001,Software,Active,srs.md#vhs-req-001-vi-content-signature-detection,,,pre-simplification docs/requirements/srs.md
VHS-REQ-002,Software,Superseded,,VHS-REQ-001,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-003,Software,Active,srs.md#vhs-req-003-optional-strict-rsrc-header,,,pre-simplification docs/requirements/srs.md
VHS-REQ-004,Software,Active,srs.md#vhs-req-004-explorer-and-editor-menu-contributions,,,pre-simplification docs/requirements/srs.md
VHS-REQ-005,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-006,Software,Active,srs.md#vhs-req-006-tracked-history-eligibility,,,pre-simplification docs/requirements/srs.md
VHS-REQ-007,Software,Active,srs.md#vhs-req-007-nul-safe-tracked-file-enumeration,,,pre-simplification docs/requirements/srs.md
VHS-REQ-008,Software,Active,srs.md#vhs-req-008-bounded-commit-queries,,,pre-simplification docs/requirements/srs.md
VHS-REQ-009,Software,Superseded,,VHS-REQ-601,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-010,Software,Active,srs.md#vhs-req-010-minimal-local-probe-reads,,,pre-simplification docs/requirements/srs.md
VHS-REQ-011,Software,Active,srs.md#vhs-req-011-non-file-uri-probe-fallback,,,pre-simplification docs/requirements/srs.md
VHS-REQ-012,Software,Active,srs.md#vhs-req-012-workspace-trust-gate,,,pre-simplification docs/requirements/srs.md
VHS-REQ-013,Software,Active,srs.md#vhs-req-013-selected-file-menu-entry-and-eligibility-gate,,,pre-simplification docs/requirements/srs.md
VHS-REQ-014,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-015,Software,Superseded,,VHS-REQ-635,Repository-wide indexing concurrency was superseded by selected-file on-demand eligibility.,pre-simplification docs/requirements/srs.md
VHS-REQ-016,Software,Active,srs.md#vhs-req-016-history-webview-panel,,,pre-simplification docs/requirements/srs.md
VHS-REQ-017,Software,Active,srs.md#vhs-req-017-factual-history-panel-content,,,pre-simplification docs/requirements/srs.md
VHS-REQ-018,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-019,Software,Superseded,,VHS-REQ-082,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-020,Software,Superseded,,VHS-REQ-601,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-021,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-022,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-023,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-024,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-025,Software,Superseded,,VHS-REQ-601,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-026,Software,Superseded,,VHS-REQ-601,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-027,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-028,Software,Superseded,,VHS-REQ-016,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-029,Software,Superseded,,VHS-REQ-016,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-030,Software,Superseded,,VHS-REQ-016,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-031,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-032,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-033,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-034,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-035,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-036,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-037,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-038,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-039,Software,Active,srs.md#vhs-req-039-copy-review-packet,,,pre-simplification docs/requirements/srs.md
VHS-REQ-040,Software,Active,srs.md#vhs-req-040-factual-review-packet-text,,,pre-simplification docs/requirements/srs.md
VHS-REQ-041,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-042,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-043,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-044,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-045,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-046,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-047,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-048,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-049,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-050,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-051,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-052,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-053,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-054,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-055,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-056,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-057,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-058,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-059,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-060,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-061,Software,Active,srs.md#vhs-req-061-most-specific-git-repository-resolution,,,pre-simplification docs/requirements/srs.md
VHS-REQ-062,Software,Superseded,,VHS-REQ-006,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-063,Software,Superseded,,VHS-REQ-001,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-064,Software,Superseded,,VHS-REQ-006,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-065,Software,Superseded,,VHS-REQ-001,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-066,Software,Superseded,,VHS-REQ-001,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-067,Software,Superseded,,VHS-REQ-001,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-068,Software,Superseded,,VHS-REQ-601,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-069,Software,Superseded,,VHS-REQ-601,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-070,Software,Superseded,,VHS-REQ-601,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-071,Software,Superseded,,VHS-REQ-082,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-072,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-073,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-074,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-075,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-076,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-077,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-078,Software,Superseded,,VHS-REQ-013,Covered by a curated active requirement block in the restored GitHub-first SRS.,pre-simplification docs/requirements/srs.md
VHS-REQ-079,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-080,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-081,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
VHS-REQ-082,Software,Active,srs.md#vhs-req-082-primary-command-identifier,,,pre-simplification docs/requirements/srs.md
VHS-REQ-083,Software,Active,srs.md#vhs-req-083-lean-activation-without-indexing-side-effects,,,pre-simplification docs/requirements/srs.md
VHS-REQ-084,Software,Active,srs.md#vhs-req-084-limited-untrusted-workspace-capability,,,pre-simplification docs/requirements/srs.md
VHS-REQ-085,Software,Retired,,,Historical requirement is outside the curated active GitHub-first baseline; restore with current evidence before targeting.,pre-simplification docs/requirements/srs.md
